  Scientific Name  	 AGCP	 AW	 CB	 EMP	 GP	 HI	 MW	 NCNE	 WMVC	 AK
  Andropogon virginicus  	 FAC	 FAC	 FAC	 FACU	 FACU	 FACU	 FACU	 FACU	 FAC	   
  Androsace chamaejasme  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 FACU
  Androsace filiformis  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Androsace occidentalis  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 UPL	 FACU	   
  Androsace septentrionalis  	   	 FACU	   	   	 FACU	   	   	 FAC	 FACU	 UPL
  Anemone canadensis  	 FAC	 FAC	   	 FACW	 FACW	   	 FACW	 FACW	 FAC	   
  Anemone hupehensis  	   	   	   	   	   	 FAC	   	   	   	   
  Anemone narcissiflora  	   	 FAC	   	   	 FAC	   	   	   	 FAC	 FACU
  Anemone oregana  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Anemone parviflora  	   	 FACW	   	   	 FACU	   	   	   	 FACW	 FACU
  Anemone piperi  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Anemone quinquefolia  	 FACU	   	   	 FACU	 FAC	   	 FAC	 FACU	   	   
  Anemone richardsonii  	   	   	   	   	   	   	   	   	   	 FAC
  Anemone virginiana  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Anemopsis californica  	   	 OBL	   	   	 FACW	   	   	   	 OBL	   
  Angadenia berteroi  	 FACW	   	   	   	   	   	   	   	   	   
  Angelica ampla  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Angelica arguta  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Angelica atropurpurea  	 OBL	   	   	 OBL	   	   	 OBL	 OBL	   	   
  Angelica dawsonii  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Angelica genuflexa  	   	 FACW	   	   	   	   	   	   	 FACW	 FACW
  Angelica kingii  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Angelica lucida  	   	 FAC	   	 FAC	   	   	   	 FAC	 FAC	 FACU
  Angelica pinnata  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Angiopteris evecta  	   	   	   	   	   	 FAC	   	   	   	   
  Aniba bracteata  	   	   	 FAC	   	   	   	   	   	   	   
  Aniseia martinicensis  	 FAC	   	 OBL	   	   	   	   	   	   	   
  Annona glabra  	 OBL	   	 OBL	   	   	 OBL	   	   	   	   
  Annona muricata  	   	   	 UPL	   	   	 UPL	   	   	   	   
  Anoda cristata  	 FAC	 FAC	 UPL	 UPL	 FAC	   	 FAC	 FAC	 FAC	   
  Anoectochilus sandvicensis  	   	   	   	   	   	 FACW	   	   	   	   
  Antennaria alpina  	   	 FACU	   	   	   	   	   	   	 FACU	 FACU
  Antennaria arcuata  	   	 FACW	   	   	   	   	   	   	 FACW	   
  Antennaria corymbosa  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Antennaria media  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Antennaria neglecta  	 UPL	 FACU	   	 UPL	 FACU	   	 UPL	 UPL	 FACU	   
  Antennaria pulchella  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Antennaria pulcherrima  	   	 FACU	   	   	   	   	   	   	 FAC	 FAC
  Antennaria umbrinella  	   	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Anthemis cotula  	 FACU	 FACU	   	 FACU	 FACU	 UPL	 FACU	 FACU	 FACU	 FACU
  Anthenantia rufa  	 FACW	   	   	 FACU	 FACU	   	   	   	   	   
  Anthoxanthum arcticum  	   	   	   	   	   	   	   	   	   	 FACW
  Anthoxanthum hirtum  	 FACW	 FACW	   	 FACW	 FACW	   	 FACW	 FACW	 FACW	 FACW
  Anthoxanthum odoratum  	 FACU	 FAC	   	 FACU	 FAC	 UPL	 FACU	 FACU	 FACU	 FACU
  Anthurium dominicense  	   	   	 FAC	   	   	   	   	   	   	   
  Anticlea elegans  	   	 FACU	   	 FAC	 FACW	   	 FAC	 FACW	 FACU	 FACU
  Anticlea occidentalis  	   	 FACW	   	   	 FACW	   	   	   	 FAC	   
  Anticlea vaginata  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Anticlea virescens  	   	 FACU	   	   	 FAC	   	   	   	 FAC	   
  Antidesma platyphyllum  	   	   	   	   	   	 FACU	   	   	   	   
  Antigonon leptopus  	 FAC	 FAC	 UPL	 FACU	 FAC	 FACU	   	   	   	   
  Antirhea obtusifolia  	   	   	 FACW	   	   	   	   	   	   	   
  Aphragmus eschscholtzianus  	   	   	   	   	   	   	   	   	   	 FACW
  Apiastrum angustifolium  	   	 UPL	   	   	   	   	   	   	 FACU	   
  Apios americana  	 FACW	   	   	 FACW	 FAC	   	 FACW	 FACW	 FACW	   
  Apios priceana  	 FACU	   	   	 FACU	   	   	 FACU	   	   	   
  Aplectrum hyemale  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Apocynum androsaemifolium  	 UPL	 UPL	   	 FACU	 UPL	   	 UPL	 UPL	 FACU	 UPL
  Apocynum cannabinum  	 FACU	 FAC	   	 FACU	 FAC	   	 FAC	 FAC	 FAC	   
  Aponogeton distachyos  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Apteria aphylla  	 FACW	   	 FAC	   	   	   	   	   	   	   
  Aquilegia caerulea  	   	 FACU	   	   	   	   	   	   	 FAC	   
  Aquilegia canadensis  	 FACU	   	   	 FAC	 FAC	   	 FACU	 FACU	 FAC	   
  Aquilegia chrysantha  	   	 FAC	   	   	 FACW	   	   	   	 FAC	   
  Aquilegia eximia  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Aquilegia formosa  	   	 FAC	   	   	   	   	   	   	 FAC	 FACU
  Aquilegia longissima  	   	 FACW	   	   	 FACW	   	   	   	   	   
  Arabidopsis lyrata  	 FACU	 FACU	   	 FACU	   	   	 FACU	 FACU	 FACU	 FACU
  Arabis alpina  	 FAC	   	   	 FAC	   	   	 FAC	 FAC	 FAC	   
  Arabis crucisetosa  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Arabis eschscholtziana  	   	 FACU	   	   	 FACU	   	 FACU	 FACU	 FACU	 FACU
  Arabis pycnocarpa  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	 FACU
  Arachniodes insularis  	   	   	   	   	   	 FACU	   	   	   	   
  Aralia californica  	   	 FACW	   	   	   	   	   	   	 FAC	   
  Aralia nudicaulis  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Aralia racemosa  	 FACU	 FAC	   	 FACU	 FACU	   	 FACU	 FACU	 FAC	   
  Aralia spinosa  	 FAC	   	   	 FAC	 FACU	   	 FACW	 FAC	   	   
  Arctagrostis latifolia  	   	   	   	   	   	   	   	   	   	 FACW
  Arctanthemum arcticum  	   	   	   	   	   	   	   	 OBL	   	 FACW
  Arctium minus  	 UPL	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 UPL	   
  Arctophila fulva  	   	   	   	   	   	   	   	   	   	 OBL
  Arctostaphylos uva-ursi  	 UPL	 FACU	   	 UPL	 UPL	   	 UPL	 UPL	 FACU	 UPL
  Arctous alpinus  	   	   	   	   	   	   	   	 FAC	   	 FACU
  Arctous ruber  	   	 FAC	   	   	   	   	   	   	 FAC	 FAC
  Ardisia crenata  	 FAC	   	   	   	   	 FACU	   	   	   	   
  Ardisia elliptica  	 FAC	   	 UPL	   	   	 FACU	   	   	   	   
  Ardisia glauciflora  	   	   	 OBL	   	   	   	   	   	   	   
  Ardisia luquillensis  	   	   	 FAC	   	   	   	   	   	   	   
  Areca catechu  	   	   	   	   	   	 FAC	   	   	   	   
  Arenaria lanuginosa  	 FAC	 FACU	   	 FAC	 FACU	   	   	   	 FACU	   
  Arenaria paludicola  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Arenaria serpyllifolia  	 UPL	 FACU	   	 FAC	 FACU	 UPL	 FAC	 FAC	 FACU	   
  Arethusa bulbosa  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Argusia gnaphalodes  	 FACU	   	 FACU	   	   	   	   	   	   	   
  Argyroxiphium caliginis  	   	   	   	   	   	 OBL	   	   	   	   
  Argyroxiphium grayanum  	   	   	   	   	   	 OBL	   	   	   	   
  Argyroxiphium kauense  	   	   	   	   	   	 FACW	   	   	   	   
  Arida arizonica  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Arida carnosa  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Arisaema dracontium  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Arisaema triphyllum  	 FACW	   	   	 FACW	 FAC	   	 FACW	 FAC	   	   
  Aristea gerrardii  	   	   	   	   	   	 FACU	   	   	   	   
  Aristida beyrichiana  	 FAC	   	   	 UPL	   	   	   	   	   	   
  Aristida dichotoma  	 FACU	 FACU	   	 UPL	 FACU	   	 FACU	 FACU	 UPL	   
  Aristida longespica  	 FACU	   	   	 UPL	 FACU	   	 FACU	 FACU	   	   
  Aristida palustris  	 FACW	   	   	   	   	   	   	   	   	   
  Aristida patula  	 FAC	   	   	   	   	   	   	   	   	   
  Aristida purpurascens  	 UPL	   	   	 FAC	 UPL	   	 FACU	 UPL	   	   
  Aristida rhizomophora  	 FACW	   	   	   	   	   	   	   	   	   
  Aristida simpliciflora  	 FAC	   	   	   	   	   	   	   	   	   
  Aristida spiciformis  	 FAC	   	 FACU	 FAC	 FAC	   	   	   	   	   
  Aristida stricta  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Aristolochia elegans  	 UPL	   	 UPL	   	   	 FACU	   	   	   	   
  Aristolochia trilobata  	   	   	 FACW	   	   	   	   	   	   	   
  Arivela viscosa  	 UPL	   	 FACU	 UPL	   	   	   	 FACU	   	   
  Armeria maritima  	   	 FACU	   	 FACU	   	   	   	 FACU	 FAC	 FACU
  Arnica acaulis  	 UPL	   	   	 FACU	   	   	   	   	   	   
  Arnica chamissonis  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Arnica fulgens  	   	 FACU	   	   	 UPL	   	   	   	 UPL	   
  Arnica lanceolata  	   	 FACW	   	   	 FAC	   	   	 FAC	 FACW	 FAC
  Arnica latifolia  	   	 FAC	   	   	 FAC	   	   	   	 FAC	 FAC
  Arnica longifolia  	   	 FACW	   	   	 FACW	   	   	   	 FACW	   
  Arnica mollis  	   	 FAC	   	   	 FAC	   	   	 FAC	 FAC	 FACW
  Arnica ovata  	   	 FACW	   	   	 FACW	   	   	   	 FACW	 FACW
  Arnoglossum diversifolium  	 FACW	   	   	   	   	   	   	   	   	   
  Arnoglossum ovatum  	 FACW	   	   	 FAC	 FAC	   	   	   	   	   
  Arnoglossum plantagineum  	 FACU	   	   	 FACW	 FAC	   	 FAC	 FAC	   	   
  Arnoglossum sulcatum  	 OBL	   	   	   	   	   	   	   	   	   
  Aronia arbutifolia  	 FACW	   	   	 FACW	 FACW	   	 FACW	 FACW	   	   
  Aronia melanocarpa  	 FAC	   	   	 FAC	 OBL	   	 FACW	 FAC	 FACW	   
  Aronia prunifolia  	 FACW	   	   	 FACW	   	   	 FACW	 FACW	   	   
  Arrhenatherum elatius  	 FACU	 UPL	   	 FACU	 FACU	 UPL	 FACU	 FACU	 UPL	 UPL
  Artemisia annua  	 FACU	 UPL	   	 FACU	 FACU	   	 FACU	 FACU	 UPL	   
  Artemisia biennis  	 FACU	 FACW	   	 FACU	 FACU	   	 FACW	 FACW	 FACW	 FAC
  Artemisia campestris  	 UPL	 UPL	   	 UPL	 UPL	   	 UPL	 UPL	 FACU	 UPL
  Artemisia cana  	   	 FACU	   	   	 FACU	   	 FACU	   	 FACU	 FACU
  Artemisia douglasiana  	   	 FAC	   	   	   	   	   	   	 FACW	   
  Artemisia dracunculus  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Artemisia ludoviciana  	 UPL	 FACU	   	 UPL	 UPL	   	 UPL	 UPL	 FACU	 FACU
  Artemisia norvegica  	   	 FACU	   	   	 FACW	   	   	   	 FACU	 FACU
  Artemisia papposa  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Artemisia potentilloides  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Artemisia stelleriana  	 FACU	   	   	 FACU	   	 UPL	 FACU	 FACU	 FACU	 UPL
  Artemisia suksdorfii  	   	 FACU	   	   	   	   	   	   	 FACU	   
  Artemisia tilesii  	   	 FACU	   	   	 FACU	   	   	   	 FACU	 FACU
  Artemisia vulgaris  	 UPL	 UPL	   	 UPL	 UPL	 FACU	 UPL	 UPL	 UPL	 UPL
  Arthraxon hispidus  	 FAC	   	   	 FAC	 FACU	 FACU	 FACW	 FACW	 FAC	   
  Arthrocnemum subterminale  	   	 FACW	   	   	   	   	   	   	 OBL	   
  Arthrostemma ciliatum  	   	   	   	   	   	 FAC	   	   	   	   
  Arthrostylidium multispicatum  	   	   	 FAC	   	   	   	   	   	   	   
  Arthrostylidium sarmentosum  	   	   	 FAC	   	   	   	   	   	   	   
  Aruncus dioicus  	 FACU	 FACU	   	 FACU	   	   	 FACU	 FACU	 FACU	 UPL
  Arundina graminifolia  	   	   	 FACU	   	   	 FACU	   	   	   	   
  Arundinaria gigantea  	 FACW	   	   	 FACW	 FACW	   	 FACW	   	   	   
  Arundinaria tecta  	 FACW	   	   	 FACW	   	   	   	 FACW	   	   
  Arundo donax  	 FAC	 FACW	 FAC	 FACU	 FAC	 FAC	 FACW	   	 FACW	   
  Asarum canadense  	 UPL	   	   	 FACU	 FACU	   	 FACU	 UPL	   	   
  Asarum caudatum  	   	 FAC	   	   	   	   	   	   	 FACU	   
  Asarum lemmonii  	   	 OBL	   	   	   	   	   	   	 OBL	   
  Asclepias connivens  	 OBL	   	   	   	   	   	   	   	   	   
  Asclepias curassavica  	 FAC	 FAC	 FACU	 FAC	 FAC	 UPL	   	   	   	   
  Asclepias exaltata  	 UPL	   	   	 FACU	 FAC	   	 UPL	 UPL	   	   
  Asclepias fascicularis  	   	 FAC	   	   	   	   	   	   	 FAC	   
  Asclepias incarnata  	 OBL	 OBL	   	 OBL	 FACW	   	 OBL	 OBL	 OBL	   
  Asclepias lanceolata  	 OBL	   	   	 OBL	   	   	   	   	   	   
  Asclepias longifolia  	 FAC	   	   	 FAC	 FAC	   	 UPL	 UPL	   	   
  Asclepias meadii  	   	   	   	 FACU	   	   	   	 FACU	   	   
  Asclepias michauxii  	 FAC	   	   	 FAC	   	   	   	   	   	   
  Asclepias oenotheroides  	 FACU	 FACU	   	   	 FACU	   	   	   	 FACU	   
  Asclepias pedicellata  	 FACW	   	   	   	   	   	   	   	   	   
  Asclepias perennis  	 OBL	   	   	 OBL	 OBL	   	 OBL	 OBL	   	   
  Asclepias prostrata  	   	   	   	   	 FAC	   	   	   	   	   
  Asclepias pumila  	   	 UPL	   	   	 UPL	   	 FACU	   	 UPL	   
  Asclepias purpurascens  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Asclepias rubra  	 OBL	   	   	 OBL	 OBL	   	   	 OBL	   	   
  Asclepias speciosa  	 FAC	 FAC	   	 FAC	 FAC	   	 FAC	 FAC	 FAC	   
  Asclepias subverticillata  	 FACU	 FACU	   	   	 FACU	   	 FACU	   	 UPL	   
  Asclepias sullivantii  	   	   	   	 FAC	 FAC	   	 FAC	 FAC	   	   
  Asclepias syriaca  	 UPL	 FACU	   	 FACU	 UPL	   	 FACU	 UPL	 FACU	   
  Asclepias texana  	   	 FACU	   	   	 FACU	   	   	   	   	   
  Asclepias variegata  	 FACU	   	   	 FACU	 FACU	   	 FACU	 FACU	   	   
  Asclepias verticillata  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 UPL	 FACU	   
  Asclepias viridula  	 FACW	   	   	 FACW	   	   	   	   	   	   
  Asimina parviflora  	 FACU	   	   	 UPL	 FAC	   	   	   	   	   
  Asimina pygmea  	 FACU	   	   	   	   	   	   	   	   	   
  Asimina reticulata  	 FACU	   	   	   	   	   	   	   	   	   
  Asimina triloba  	 FAC	   	   	 FAC	 FACU	   	 FAC	 FAC	   	   
  Asparagus officinalis  	 FACU	 FACU	   	 FACU	 FACU	   	 FACU	 FACU	 FACU	   
  Asperugo procumbens  	 UPL	 UPL	   	 UPL	 UPL	   	 UPL	 FACU	 UPL	 UPL
  Asplenium X flagrum  	   	   	   	   	   	 FACU	   	   	   	   
  Asplenium X kokeense  	   	   	   	   	   	 FACU	   	   	   	   
  Asplenium X sphenocookii  	   	   	   	   	   	 FACU	   	   	   	   
  Asplenium X waikomoi  	   	   	   	   	   	 FACU	   	   	   	   
  Asplenium abscissum  	 FACW	   	 FACW	 FACW	   	   	   	   	   	   
